Rk,Player,Nation,Pos,Squad,Age,Born,MP_playingtime,Starts_playingtime,Min_playingtime,Gls_performance,Ast_performance,PK_performance,PKatt_performance,CrdY_performance,CrdR_performance,Gls_per90min,Ast_per90min,G_plus_A_per90min,G_minus_PK_per90min,G_plus_A_minus_PK_per90min,xG_expected,npxG_expected,xA_expected,xG_per90min,xA_per90min,xG_plus_xA_per90min,npxG_per90min,npxG_plus_xA_per90min
468,Samuel Piette\Samuel-Piette,ca CAN,MF,Montreal,24,1994,25,25,2219,0,0,0,0,6,0,0,0,0,0,0,0.5,0.5,0.8,0.02,0.03,0.05,0.02,0.05
469,Donovan Pines\Donovan-Pines,us USA,DF,D.C. United,20,1998,10,9,785,0,1,0,0,1,0,0,0.11,0.11,0,0.11,0.3,0.3,0.3,0.03,0.03,0.06,0.03,0.06
470,Joao Plata\Joao-Plata,ec ECU,FWMF,Real Salt Lake,26,1992,17,2,317,1,0,1,1,0,0,0.28,0,0.28,0,0,1.5,0.8,0.3,0.44,0.09,0.53,0.23,0.32
471,Florentin Pogba\Florentin-Pogba,gn GUI,DF,Atlanta,28,1990,13,8,783,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0.3,0.01,0.03,0.05,0.01,0.05
472,Diego Polenta\Diego-Polenta,uy URU,DF,LA Galaxy,26,1992,28,28,2519,1,2,0,0,10,1,0.04,0.07,0.11,0.04,0.11,1.1,1.1,2.3,0.04,0.08,0.12,0.04,0.12
473,Andy Polo\Andy-Polo,pe PER,MFFW,Portland,24,1994,19,12,1047,0,1,0,0,1,0,0,0.09,0.09,0,0.09,0.8,0.8,1.2,0.07,0.1,0.17,0.07,0.17
474,Paxton Pomykal\Paxton-Pomykal,us USA,MF,FC Dallas,19,1999,25,20,1878,2,2,0,0,4,0,0.1,0.1,0.19,0.1,0.19,2.3,2.3,3.1,0.11,0.15,0.26,0.11,0.26
475,Chris Pontius\Chris-Pontius,us USA,FW,LA Galaxy,31,1987,18,6,703,2,2,0,0,0,0,0.26,0.26,0.51,0.26,0.51,2.5,2.5,2,0.33,0.25,0.58,0.33,0.58
476,Justin Portillo\Justin-Portillo,us USA,MF,Real Salt Lake,26,1992,4,2,194,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
477,Alvas Powell\Alvas-Powell,jm JAM,DF,FC Cincinnati,24,1994,13,10,969,0,0,0,0,1,0,0,0,0,0,0,0.5,0.5,0.5,0.04,0.04,0.09,0.04,0.09
478,Dillon Powers\Dillon-Powers,us USA,MF,Orlando City,27,1991,7,7,619,0,1,0,0,0,0,0,0.15,0.15,0,0.15,0.1,0.1,0.3,0.01,0.04,0.05,0.01,0.05
479,Alejandro Pozuelo\Alejandro-Pozuelo,es ESP,MFFW,Toronto FC,27,1991,30,28,2518,12,7,5,6,5,1,0.43,0.25,0.68,0.25,0.5,9,4.4,7.5,0.32,0.27,0.59,0.16,0.42
480,Jack Price\Jack-Price,eng ENG,MF,Colorado,26,1992,27,25,2226,1,10,0,0,9,1,0.04,0.4,0.44,0.04,0.44,0.2,0.2,6,0.01,0.24,0.25,0.01,0.25
481,Kacper Przybyłko\Kacper-Przybylko,pl POL,FW,Philadelphia,25,1993,26,25,2241,15,4,0,1,5,0,0.6,0.16,0.76,0.6,0.76,12.3,11.5,3.4,0.49,0.13,0.63,0.46,0.6
482,Andrew Putna\Andrew-Putna,us USA,GK,Real Salt Lake,24,1994,5,5,450,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0,0.02,0.02,0,0.02
483,Valeri Qazaishvili\Valeri-Qazaishvili,ge GEO,FWMF,San Jose,26,1993,32,24,2094,8,5,0,0,1,0,0.34,0.21,0.56,0.34,0.56,6.9,6.9,2.9,0.3,0.13,0.42,0.3,0.42
484,Darwin Quintero\Darwin-Quintero,co COL,MFFW,Minnesota,31,1987,30,26,2197,10,5,3,4,5,0,0.41,0.2,0.61,0.29,0.49,11.7,8.6,5,0.48,0.21,0.68,0.35,0.56
485,Romell Quioto\Romell-Quioto,hn HON,FW,Houston,27,1991,18,8,796,2,2,1,1,5,1,0.23,0.23,0.45,0.11,0.34,2.3,1.6,2.6,0.26,0.29,0.55,0.18,0.47
486,Jukka Raitala\Jukka-Raitala,fi FIN,DF,Montreal,30,1988,26,23,2084,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0.4,0,0.02,0.02,0,0.02
487,Christian Ramirez\Christian-Ramirez,us USA,FWMF,Houston,27,1991,10,7,674,5,1,0,0,0,0,0.67,0.13,0.8,0.67,0.8,3.8,3.8,0.8,0.5,0.11,0.61,0.5,0.61
488,Christian Ramirez\Christian-Ramirez,us USA,FW,Los Angeles FC,27,1991,17,13,948,4,2,0,0,0,0,0.38,0.19,0.57,0.38,0.57,5.8,5.8,1.3,0.55,0.13,0.68,0.55,0.68
489,Greg Ranjitsingh\Greg-Ranjitsingh,tt TRI,GK,Orlando City,25,1993,2,2,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
