Rk,Player,Nation,Pos,Squad,Age,Born,MP_playingtime,Starts_playingtime,Min_playingtime,Gls_performance,Ast_performance,PK_performance,PKatt_performance,CrdY_performance,CrdR_performance,Gls_per90min,Ast_per90min,G_plus_A_per90min,G_minus_PK_per90min,G_plus_A_minus_PK_per90min
98,Facundo Coria\Facundo-Coria,ar ARG,MF,D.C. United,27,1987,7,1,136,0,1,0,0,1,0,0,0.66,0.66,0,0.66
99,Coy Craft\Coy-Craft,us USA,FWMF,FC Dallas,17,1997,2,1,67,0,0,0,0,0,0,0,0,0,0,0
100,Andy Craven\Andy-Craven,us USA,FW,Seattle,23,1992,3,0,70,0,0,0,0,1,0,0,0,0,0,0
101,Warren Creavalle\Warren-Creavalle,us USA,DFMF,Toronto FC,24,1990,14,8,731,1,0,0,0,3,1,0.12,0,0.12,0.12,0.12
102,Warren Creavalle\Warren-Creavalle,us USA,DFMF,Philadelphia,24,1990,5,2,167,0,0,0,0,1,0,0,0,0,0,0
103,Sam Cronin\Sam-Cronin,us USA,MF,Colorado,28,1986,26,24,2138,1,0,0,0,9,1,0.04,0,0.04,0.04,0.04
104,Daneil Cyrus\Daneil-Cyrus,tt TRI,DF,Chicago,24,1990,6,5,520,0,0,0,0,1,0,0,0,0,0,0
105,Charlie Davies\Charlie-Davies,us USA,FW,New England,28,1986,33,25,2154,10,3,0,0,1,0,0.42,0.13,0.54,0.42,0.54
106,Brad Davis\Brad-Davis,us USA,MF,Houston,33,1981,30,29,2592,4,10,2,2,2,0,0.14,0.35,0.49,0.07,0.42
107,Sean Davis\Sean-Davis,us USA,MF,NY Red Bulls,21,1993,14,4,438,0,1,0,0,0,0,0,0.21,0.21,0,0.21
108,Christian Dean\Christian-Dean,us USA,DF,Vancouver,21,1993,5,3,293,0,0,0,0,1,0,0,0,0,0,0
109,A.J. DeLaGarza\AJ-DeLaGarza,gu GUM,DF,LA Galaxy,27,1987,24,22,1959,0,1,0,0,4,0,0,0.05,0.05,0,0.05
110,Nick DeLeon\Nick-DeLeon,us USA,DFMF,D.C. United,24,1990,29,25,2217,2,5,0,0,1,0,0.08,0.2,0.28,0.08,0.28
